measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1995,0.25169007360296475,0.2595890086156213,0.23575154645294563
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1995,217.37098480969513,224.12367371956768,203.6314742927519
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1995,167.89550174201602,172.64581319588362,158.3939157574975
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1987,219857.93235329998,225601.98399549164,209523.3334561286
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1987,0.290329438667711,0.2978556985068162,0.27635117459757197
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1987,176.65309455255513,181.26836809307147,168.34937379704894
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1987,145.65585246556506,149.9035565192272,137.81650238449868
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1990,242047.0239880933,248862.61724757138,228494.81136317208
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1990,0.29758391032118997,0.3062359270836927,0.2809397229605072
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1990,192.36292497773005,197.7795065710496,181.59252500545765
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1990,145.421743708466,149.86280801134717,136.63273728573563
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1989,9168.564897524495,11160.70925155843,7451.959312459416
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1989,0.033048414161554386,0.03960998119189859,0.027340212385548745
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1989,54.64421620728501,66.51730300054582,44.413327536992064
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1989,136.43830696039961,164.86526905933567,111.29802064532852
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1999,592209.9845587376,611214.0138993403,551975.3334300627
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1999,0.2497583840098685,0.2578938029335064,0.2326299673887072
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1999,212.77952713770944,219.6076260928754,198.3233202770815
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1999,160.32161963135704,164.92767012723036,150.50513451084137
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1991,10294.69687479777,12439.53607726687,8436.426544190832
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1991,0.0342237203630558,0.04069621484964629,0.028520615194216718
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1991,57.71279370810231,69.73691291574838,47.29519972272213
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1991,145.6501876695848,176.63897176817093,119.8250934781098
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,1998,582989.9601464896,602340.342427585,544224.6730241324
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,1998,0.2507472397547704,0.25889460401094444,0.2339556550808072
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,1998,211.53239659402823,218.5534999041132,197.4667785727723
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1998,160.22154050119218,164.99233651900514,150.7439687158546
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,2000,596474.521984746,616577.7992180053,553996.6619845115
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,2000,0.24961162399710043,0.2580134534632714,0.23205136040823043
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,2000,212.22226397610805,219.3748964030312,197.10888144953546
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,2000,158.84071346815384,163.65989758150434,148.78343604845176
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1989,235348.14474035456,242024.00136093737,222916.26657023135
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1989,0.2963433142784559,0.3045423991738265,0.28064002319169773
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1989,187.66060473115533,192.98376243821602,177.7477423292732
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1989,146.22848004399498,150.803951107096,137.828320921106
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,2003,605183.2715108213,625686.6353798499,560641.0791730814
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,2003,0.24885053206958002,0.2574013760560284,0.2305324090011341
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,2003,209.20587768429553,216.2936879983384,193.80808187487693
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,2003,153.28815033971955,157.9283709175688,143.2339022957783
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,2001,600741.1985423454,621125.7933230681,557991.6171652698
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,2001,0.24906311175762763,0.2574188649487507,0.23135440642453797
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,2001,211.68825110092533,218.8713429697742,196.62421996910328
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,2001,157.59996542359374,162.41328393067823,147.52469698809367
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1991,249948.1261000637,257125.41349620355,235602.78537698893
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1991,0.3005056092049815,0.30921587219545543,0.2833871446855421
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1991,198.02541096350015,203.71173199498796,186.6600847399259
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1991,145.27785944925853,149.75806083203938,136.27949422087525
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1990,9617.203904297765,11681.192899935493,7810.596020567404
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1990,0.0332367451739445,0.039670468127161074,0.027496098886681954
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1990,55.619954667450465,67.55678948075686,45.17165289545242
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1990,140.02852797457626,170.0905736486062,115.3229846283426
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,1,Number,1988,8438.132767980298,10356.01231221574,6766.097019485548
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,2,Percent,1988,0.031708284829144825,0.03808628079266943,0.02586684930919343
1,Deaths,190,Uganda,3,Both,22,All ages,1029,Total cancers,3,Rate,1988,51.77529548400454,63.54315726526506,41.51589955856501
1,Deaths,190,Uganda,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1988,129.88856349600633,157.21941458530392,103.8274518885957
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1992,258144.26986297124,265699.17129333765,243359.02970781285
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1992,0.30268044322598225,0.31163766807411053,0.2849624897007144
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1992,203.91715703826762,209.8850370233723,192.23778046264843
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1992,145.0346355348067,149.5234879764714,136.32724621975856
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,2004,602943.4091290651,624581.6138299103,557742.2597343583
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,2004,0.25072512383139633,0.2596066317906661,0.23193170698661084
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,2004,206.41733594270744,213.8251631140554,190.9427479493151
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,2004,150.04466385634507,154.88258679737547,140.00011449979695
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,2005,607123.7252213665,629081.1145496006,560960.2497489894
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,2005,0.24996825367696313,0.2589898216702189,0.23100639968684755
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,2005,205.8158986175433,213.2594881663425,190.16640775932999
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,2005,148.0789398227713,152.90583822587857,137.97687809725755
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,1,Number,1994,271696.682560698,280676.3332252071,254619.0977750384
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,2,Percent,1994,0.30917411872039974,0.31921436295512406,0.28971799204321014
1,Deaths,67,Japan,3,Both,22,All ages,1029,Total cancers,3,Rate,1994,213.42611059122072,220.47990270134673,200.01114186674667
1,Deaths,67,Japan,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,1994,143.27372924543477,148.14872564330048,134.0207996259073
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,2006,612576.458609245,635336.1402033232,565314.9358134132
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,2006,0.25236540747405023,0.2617189839278278,0.2328650816780978
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,3,Rate,2006,205.62013493899198,213.25975075310237,189.75612227881876
1,Deaths,102,United States of America,3,Both,27,Age-standardized,1029,Total cancers,3,Rate,2006,146.52402147242864,151.41273356735852,136.37620216268078
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,1,Number,2007,615223.1682758592,638417.0755575873,567506.2251065939
1,Deaths,102,United States of America,3,Both,22,All ages,1029,Total cancers,2,Percent,2007,0.25369743222002866,0.26353221766504276,0.23380907147707625
